Model,Temperature,scenario,dev_from_avg_profile_L2,rank_within_model_temp,FR_scenario,CR_scenario,DS_scenario,FR_scenario_scaled,CR_scenario_scaled,DS_scenario_scaled,FR_scenario_baseline_scaled,CR_scenario_baseline_scaled,DS_scenario_baseline_scaled
deepseek-ai/deepseek-llm-7b-chat,0.7,1_founder_period,0.16556758064345492,5,0.9720696008268154,0.09067384122716905,0.9339968983231204,0.9695848840992014,0.19656829405826934,0.8807803864475847,0.8526357814419934,0.25534894040671147,0.7793882429518476
deepseek-ai/deepseek-llm-7b-chat,0.7,6_energy_infra,0.16424507798122417,6,0.8953259430402077,0.0938962032158538,0.759675741308073,0.8860140324347582,0.20355392729472896,0.5659088050652098,0.9452172643606295,0.26298368389676,0.707116195101331
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,4_model_x_launch,0.4788688445637248,1,0.8431614526507226,0.461284164170903,0.9898476223412771,0.8292089359066163,1.0,0.9816620355490164,0.7916795202219633,0.5226500886732031,0.9882934312139142
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,5_model_3_mass_market,0.30275316488120774,2,0.9944829847612277,0.0,0.9999999999117193,0.9939921854724212,0.0,0.999999999999999,0.7080307757808698,0.09906646656333115,0.9915509636369055
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,3_model_s_launch,0.2433945462660633,3,1.0,0.0,0.9999999999117193,1.0,0.0,0.999999999999999,0.7738565034184205,0.08998182967790622,0.9981849424978122
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,1_founder_period,0.18354459853855767,4,0.760452010761194,0.22951785719647672,0.9945464321435776,0.739141577915701,0.4975628365846995,0.9901493683455608,0.8185352094786118,0.3320789833575648,0.989545016599292
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,6_energy_infra,0.1525736931507554,5,0.7593568611380018,0.13765483213104796,0.9769974307730319,0.7379490026677938,0.29841655713125165,0.9584510827912249,0.8851472811376662,0.3383378291437863,0.9626571139451754
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,2_roadster_launch,0.11927917273376899,6,0.817730860613083,0.164470599107079,0.9974826172166761,0.8015160125275143,0.35654941548382235,0.9954529198652311,0.7479916780152689,0.2526388342093078,0.971677769765472
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,1_founder_period,0.2357249646923998,1,0.9097213301159767,0.17839862995372377,0.7729730511983449,0.901690047791056,0.3867434518901632,0.5899273755300672,0.8526357814419934,0.25534894040671147,0.7793882429518476
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,5_model_3_mass_market,0.20686570913442326,2,0.9165288320555434,0.019423850652356942,0.9244782391676404,0.909103152029309,0.04210821042874674,0.8635870903942141,0.7157419661575702,0.06183251073440614,0.7927645982648428
